time,device,temp,pressure,vibration
2026-03-24 09:00:00,ETCH-01,453.09,1.012,0.4
2026-03-24 09:01:00,ETCH-01,458.19,0.945,0.271
2026-03-24 09:02:00,ETCH-01,451.91,0.951,0.376
2026-03-24 09:03:00,ETCH-01,451.56,0.952,0.271
2026-03-24 09:04:00,ETCH-01,442.41,1.006,0.294
2026-03-24 09:05:00,ETCH-01,436.85,0.969,0.349
2026-03-24 09:06:00,ETCH-01,451.94,1.025,0.329
2026-03-24 09:07:00,ETCH-01,449.53,0.857,0.1
2026-03-24 09:08:00,ETCH-01,447.43,0.957,0.188
2026-03-24 09:09:00,ETCH-01,451.22,0.944,0.393
2026-03-24 09:10:00,ETCH-01,449.7,0.987,0.287
2026-03-24 09:11:00,ETCH-01,455.64,0.973,0.248
2026-03-24 09:12:00,ETCH-01,450.43,1.04,0.164
2026-03-24 09:13:00,ETCH-01,446.27,0.907,0.192
2026-03-24 09:14:00,ETCH-01,454.95,1.002,0.098
2026-03-24 09:15:00,ETCH-01,448.91,1.028,0.29
2026-03-24 09:16:00,ETCH-01,452.63,1.093,0.24
2026-03-24 09:17:00,ETCH-01,447.61,0.976,0.203
2026-03-24 09:18:00,ETCH-01,446.75,1.016,0.293
2026-03-24 09:19:00,ETCH-01,450.42,0.91,0.336
2026-03-24 09:20:00,ETCH-01,450.06,0.88,0.509
2026-03-24 09:21:00,ETCH-01,452.4,1.042,0.149
2026-03-24 09:22:00,ETCH-01,448.66,1.0,0.416
2026-03-24 09:23:00,ETCH-01,440.82,1.059,0.397
2026-03-24 09:24:00,ETCH-01,447.84,0.931,0.222
2026-03-24 09:25:00,ETCH-01,453.97,1.026,0.32
2026-03-24 09:26:00,ETCH-01,448.51,1.093,0.254
2026-03-24 09:27:00,ETCH-01,448.77,1.021,0.319
2026-03-24 09:28:00,ETCH-01,454.93,1.014,0.451
2026-03-24 09:29:00,ETCH-01,446.44,1.0,0.361
2026-03-24 09:30:00,ETCH-01,442.29,0.921,0.351
2026-03-24 09:31:00,ETCH-01,449.2,1.068,0.257
2026-03-24 09:32:00,ETCH-01,447.58,0.969,0.152
2026-03-24 09:33:00,ETCH-01,445.17,1.025,0.279
2026-03-24 09:34:00,ETCH-01,449.12,0.922,0.421
2026-03-24 09:35:00,ETCH-01,452.46,0.941,0.147
2026-03-24 09:36:00,ETCH-01,449.95,1.072,0.194
2026-03-24 09:37:00,ETCH-01,451.53,0.983,0.313
2026-03-24 09:38:00,ETCH-01,459.07,1.073,0.202
2026-03-24 09:39:00,ETCH-01,448.29,0.996,0.221
2026-03-24 09:40:00,ETCH-01,451.39,0.908,0.258
2026-03-24 09:41:00,ETCH-01,447.45,1.045,0.163
2026-03-24 09:42:00,ETCH-01,445.77,0.971,0.203
2026-03-24 09:43:00,ETCH-01,447.08,1.035,0.37
2026-03-24 09:44:00,ETCH-01,447.61,1.001,0.169
2026-03-24 09:45:00,ETCH-01,451.8,0.923,0.14
2026-03-24 09:46:00,ETCH-01,461.75,1.008,0.237
2026-03-24 09:47:00,ETCH-01,446.42,1.11,0.373
2026-03-24 09:48:00,ETCH-01,447.92,1.025,0.28
2026-03-24 09:49:00,ETCH-01,449.68,0.997,0.254
2026-03-24 09:50:00,ETCH-01,451.98,1.054,0.304
2026-03-24 09:51:00,ETCH-01,451.32,1.011,0.125
2026-03-24 09:52:00,ETCH-01,456.42,1.01,0.349
2026-03-24 09:53:00,ETCH-01,437.87,0.945,0.338
2026-03-24 09:54:00,ETCH-01,438.07,1.012,0.259
2026-03-24 09:55:00,ETCH-01,447.52,1.052,0.401
2026-03-24 09:56:00,ETCH-01,455.49,0.958,0.187
2026-03-24 09:57:00,ETCH-01,442.17,1.071,0.413
2026-03-24 09:58:00,ETCH-01,434.96,0.995,0.315
2026-03-24 09:59:00,ETCH-01,452.86,0.956,0.266
