time,device,temp,pressure,vibration
2026-03-17 09:00:00,ETCH-01,438.81,1.05,0.109
2026-03-17 09:01:00,ETCH-01,439.4,0.977,0.214
2026-03-17 09:02:00,ETCH-01,446.97,1.032,0.259
2026-03-17 09:03:00,ETCH-01,452.29,0.99,0.489
2026-03-17 09:04:00,ETCH-01,436.26,1.016,0.356
2026-03-17 09:05:00,ETCH-01,447.5,0.943,0.166
2026-03-17 09:06:00,ETCH-01,447.37,1.004,0.349
2026-03-17 09:07:00,ETCH-01,456.94,0.85,0.145
2026-03-17 09:08:00,ETCH-01,448.07,0.991,0.408
2026-03-17 09:09:00,ETCH-01,451.91,0.918,0.253
2026-03-17 09:10:00,ETCH-01,450.71,1.06,0.291
2026-03-17 09:11:00,ETCH-01,439.35,1.039,0.433
2026-03-17 09:12:00,ETCH-01,453.84,1.023,0.171
2026-03-17 09:13:00,ETCH-01,451.08,1.076,0.16
2026-03-17 09:14:00,ETCH-01,452.54,0.953,0.242
2026-03-17 09:15:00,ETCH-01,469.63,1.087,0.404
2026-03-17 09:16:00,ETCH-01,439.58,1.047,0.148
2026-03-17 09:17:00,ETCH-01,458.62,0.988,0.017
2026-03-17 09:18:00,ETCH-01,448.56,1.057,0.255
2026-03-17 09:19:00,ETCH-01,451.44,0.945,0.355
2026-03-17 09:20:00,ETCH-01,449.77,0.959,0.42
2026-03-17 09:21:00,ETCH-01,447.88,0.97,0.254
2026-03-17 09:22:00,ETCH-01,447.15,0.974,0.259
2026-03-17 09:23:00,ETCH-01,451.65,0.947,0.415
2026-03-17 09:24:00,ETCH-01,442.41,1.061,0.113
2026-03-17 09:25:00,ETCH-01,453.75,0.987,0.261
2026-03-17 09:26:00,ETCH-01,447.92,1.018,0.319
2026-03-17 09:27:00,ETCH-01,444.35,0.971,0.345
2026-03-17 09:28:00,ETCH-01,447.75,0.909,0.249
2026-03-17 09:29:00,ETCH-01,456.29,1.014,0.303
2026-03-17 09:30:00,ETCH-01,447.32,0.904,0.051
2026-03-17 09:31:00,ETCH-01,451.79,0.997,0.234
2026-03-17 09:32:00,ETCH-01,446.35,0.932,0.345
2026-03-17 09:33:00,ETCH-01,453.79,1.099,0.202
2026-03-17 09:34:00,ETCH-01,453.43,1.046,0.306
2026-03-17 09:35:00,ETCH-01,459.24,1.005,0.345
2026-03-17 09:36:00,ETCH-01,449.12,1.063,0.266
2026-03-17 09:37:00,ETCH-01,453.34,0.958,0.317
2026-03-17 09:38:00,ETCH-01,450.49,1.027,0.204
2026-03-17 09:39:00,ETCH-01,456.48,1.01,0.279
2026-03-17 09:40:00,ETCH-01,446.41,1.013,0.361
2026-03-17 09:41:00,ETCH-01,453.73,1.064,0.316
2026-03-17 09:42:00,ETCH-01,449.03,1.037,0.241
2026-03-17 09:43:00,ETCH-01,449.68,1.014,0.322
2026-03-17 09:44:00,ETCH-01,450.46,0.917,0.371
2026-03-17 09:45:00,ETCH-01,451.26,0.952,0.095
2026-03-17 09:46:00,ETCH-01,449.42,0.994,0.416
2026-03-17 09:47:00,ETCH-01,451.07,1.005,0.266
2026-03-17 09:48:00,ETCH-01,457.89,0.943,0.343
2026-03-17 09:49:00,ETCH-01,454.93,1.121,0.42
2026-03-17 09:50:00,ETCH-01,454.35,1.076,0.163
2026-03-17 09:51:00,ETCH-01,447.72,1.03,0.229
2026-03-17 09:52:00,ETCH-01,445.55,1.004,0.271
2026-03-17 09:53:00,ETCH-01,454.78,0.989,0.222
2026-03-17 09:54:00,ETCH-01,454.38,0.952,0.473
2026-03-17 09:55:00,ETCH-01,457.36,1.004,0.214
2026-03-17 09:56:00,ETCH-01,446.98,1.013,0.244
2026-03-17 09:57:00,ETCH-01,448.85,0.938,0.32
2026-03-17 09:58:00,ETCH-01,441.8,1.017,0.18
2026-03-17 09:59:00,ETCH-01,448.04,0.992,0.26
