time,device,temp,pressure,vibration
2026-03-21 09:00:00,ETCH-01,445.88,0.982,0.4
2026-03-21 09:01:00,ETCH-01,446.4,0.964,0.47
2026-03-21 09:02:00,ETCH-01,460.25,1.019,0.136
2026-03-21 09:03:00,ETCH-01,450.0,1.016,0.121
2026-03-21 09:04:00,ETCH-01,453.91,1.06,0.238
2026-03-21 09:05:00,ETCH-01,446.05,0.937,0.358
2026-03-21 09:06:00,ETCH-01,446.1,1.037,0.35
2026-03-21 09:07:00,ETCH-01,455.41,1.03,0.407
2026-03-21 09:08:00,ETCH-01,443.25,0.993,0.18
2026-03-21 09:09:00,ETCH-01,447.92,1.017,0.068
2026-03-21 09:10:00,ETCH-01,450.17,1.051,0.386
2026-03-21 09:11:00,ETCH-01,450.56,1.044,0.217
2026-03-21 09:12:00,ETCH-01,449.1,0.943,0.098
2026-03-21 09:13:00,ETCH-01,451.98,1.041,0.315
2026-03-21 09:14:00,ETCH-01,453.46,0.997,0.379
2026-03-21 09:15:00,ETCH-01,453.67,1.004,0.288
2026-03-21 09:16:00,ETCH-01,445.07,1.004,0.254
2026-03-21 09:17:00,ETCH-01,448.58,0.992,0.284
2026-03-21 09:18:00,ETCH-01,455.97,1.06,0.263
2026-03-21 09:19:00,ETCH-01,454.47,0.996,0.165
2026-03-21 09:20:00,ETCH-01,443.14,0.944,0.229
2026-03-21 09:21:00,ETCH-01,451.76,0.98,0.352
2026-03-21 09:22:00,ETCH-01,440.11,1.009,0.332
2026-03-21 09:23:00,ETCH-01,450.23,1.061,0.317
2026-03-21 09:24:00,ETCH-01,459.49,1.03,0.2
2026-03-21 09:25:00,ETCH-01,445.26,0.957,0.282
2026-03-21 09:26:00,ETCH-01,445.83,1.124,0.082
2026-03-21 09:27:00,ETCH-01,453.82,1.013,0.318
2026-03-21 09:28:00,ETCH-01,442.29,1.064,0.443
2026-03-21 09:29:00,ETCH-01,446.84,0.992,0.153
2026-03-21 09:30:00,ETCH-01,452.98,1.027,0.241
2026-03-21 09:31:00,ETCH-01,446.83,1.042,0.333
2026-03-21 09:32:00,ETCH-01,448.82,1.061,0.425
2026-03-21 09:33:00,ETCH-01,453.72,1.053,0.255
2026-03-21 09:34:00,ETCH-01,452.11,1.044,0.231
2026-03-21 09:35:00,ETCH-01,451.33,0.984,0.103
2026-03-21 09:36:00,ETCH-01,448.3,0.971,0.31
2026-03-21 09:37:00,ETCH-01,451.85,1.017,0.504
2026-03-21 09:38:00,ETCH-01,449.38,1.047,0.328
2026-03-21 09:39:00,ETCH-01,452.29,0.989,0.298
2026-03-21 09:40:00,ETCH-01,447.52,1.053,0.332
2026-03-21 09:41:00,ETCH-01,449.09,1.073,0.299
2026-03-21 09:42:00,ETCH-01,445.05,0.954,0.219
2026-03-21 09:43:00,ETCH-01,449.82,0.958,0.382
2026-03-21 09:44:00,ETCH-01,445.94,0.993,0.323
2026-03-21 09:45:00,ETCH-01,444.43,1.015,0.302
2026-03-21 09:46:00,ETCH-01,451.29,0.974,0.202
2026-03-21 09:47:00,ETCH-01,451.06,1.068,0.43
2026-03-21 09:48:00,ETCH-01,453.91,1.021,0.366
2026-03-21 09:49:00,ETCH-01,447.84,1.002,0.245
2026-03-21 09:50:00,ETCH-01,452.04,0.928,0.4
2026-03-21 09:51:00,ETCH-01,452.75,0.934,0.25
2026-03-21 09:52:00,ETCH-01,452.22,1.014,0.222
2026-03-21 09:53:00,ETCH-01,445.87,0.893,0.224
2026-03-21 09:54:00,ETCH-01,450.75,1.051,0.123
2026-03-21 09:55:00,ETCH-01,451.82,0.992,0.347
2026-03-21 09:56:00,ETCH-01,450.04,1.162,0.117
2026-03-21 09:57:00,ETCH-01,439.57,1.115,0.177
2026-03-21 09:58:00,ETCH-01,450.8,0.991,0.092
2026-03-21 09:59:00,ETCH-01,461.06,0.995,0.291
