time,device,temp,pressure,vibration
2026-03-30 09:00:00,ETCH-01,458.92,0.968,0.195
2026-03-30 09:01:00,ETCH-01,450.07,1.033,0.343
2026-03-30 09:02:00,ETCH-01,448.88,1.051,0.13
2026-03-30 09:03:00,ETCH-01,445.36,1.03,0.244
2026-03-30 09:04:00,ETCH-01,464.68,1.081,0.267
2026-03-30 09:05:00,ETCH-01,444.63,1.021,0.467
2026-03-30 09:06:00,ETCH-01,447.86,0.939,0.273
2026-03-30 09:07:00,ETCH-01,452.08,1.068,0.08
2026-03-30 09:08:00,ETCH-01,453.0,0.97,0.1
2026-03-30 09:09:00,ETCH-01,454.79,1.046,0.303
2026-03-30 09:10:00,ETCH-01,459.04,1.079,0.361
2026-03-30 09:11:00,ETCH-01,452.53,1.023,0.338
2026-03-30 09:12:00,ETCH-01,444.72,0.925,0.317
2026-03-30 09:13:00,ETCH-01,448.72,0.954,0.416
2026-03-30 09:14:00,ETCH-01,451.54,1.066,0.246
2026-03-30 09:15:00,ETCH-01,460.34,0.992,0.389
2026-03-30 09:16:00,ETCH-01,443.01,1.004,0.137
2026-03-30 09:17:00,ETCH-01,456.01,1.038,0.21
2026-03-30 09:18:00,ETCH-01,450.9,1.035,0.119
2026-03-30 09:19:00,ETCH-01,454.19,1.014,0.273
2026-03-30 09:20:00,ETCH-01,449.49,0.99,0.295
2026-03-30 09:21:00,ETCH-01,445.79,0.984,0.311
2026-03-30 09:22:00,ETCH-01,453.75,1.043,0.306
2026-03-30 09:23:00,ETCH-01,453.27,1.028,0.207
2026-03-30 09:24:00,ETCH-01,454.86,0.987,0.281
2026-03-30 09:25:00,ETCH-01,449.93,1.054,0.15
2026-03-30 09:26:00,ETCH-01,447.0,0.994,0.436
2026-03-30 09:27:00,ETCH-01,442.21,0.957,0.27
2026-03-30 09:28:00,ETCH-01,454.1,0.962,0.251
2026-03-30 09:29:00,ETCH-01,452.12,0.951,0.459
2026-03-30 09:30:00,ETCH-01,445.17,0.986,0.176
2026-03-30 09:31:00,ETCH-01,447.31,1.062,0.187
2026-03-30 09:32:00,ETCH-01,447.67,0.96,0.19
2026-03-30 09:33:00,ETCH-01,442.59,1.009,0.293
2026-03-30 09:34:00,ETCH-01,445.91,0.967,0.343
2026-03-30 09:35:00,ETCH-01,444.33,0.987,0.374
2026-03-30 09:36:00,ETCH-01,447.94,0.924,0.557
2026-03-30 09:37:00,ETCH-01,446.31,0.989,0.075
2026-03-30 09:38:00,ETCH-01,441.86,0.99,0.361
2026-03-30 09:39:00,ETCH-01,460.11,1.027,0.244
2026-03-30 09:40:00,ETCH-01,456.26,1.011,0.241
2026-03-30 09:41:00,ETCH-01,446.1,0.94,0.238
2026-03-30 09:42:00,ETCH-01,451.36,1.054,0.209
2026-03-30 09:43:00,ETCH-01,452.09,1.011,0.468
2026-03-30 09:44:00,ETCH-01,455.96,1.01,0.384
2026-03-30 09:45:00,ETCH-01,445.91,1.0,0.302
2026-03-30 09:46:00,ETCH-01,455.46,0.974,0.435
2026-03-30 09:47:00,ETCH-01,447.26,1.011,0.149
2026-03-30 09:48:00,ETCH-01,443.32,1.024,0.167
2026-03-30 09:49:00,ETCH-01,453.62,0.913,0.082
2026-03-30 09:50:00,ETCH-01,456.45,0.973,0.23
2026-03-30 09:51:00,ETCH-01,462.94,0.987,0.316
2026-03-30 09:52:00,ETCH-01,444.0,1.013,0.31
2026-03-30 09:53:00,ETCH-01,453.49,1.06,0.315
2026-03-30 09:54:00,ETCH-01,447.95,0.961,0.159
2026-03-30 09:55:00,ETCH-01,453.92,0.975,0.38
2026-03-30 09:56:00,ETCH-01,442.65,0.974,0.324
2026-03-30 09:57:00,ETCH-01,443.69,0.96,0.373
2026-03-30 09:58:00,ETCH-01,446.12,0.983,0.111
2026-03-30 09:59:00,ETCH-01,450.39,1.039,0.331
