time,device,temp,pressure,vibration
2026-03-03 09:00:00,ETCH-01,452.6,1.103,0.287
2026-03-03 09:01:00,ETCH-01,457.66,1.088,0.204
2026-03-03 09:02:00,ETCH-01,449.46,0.988,0.139
2026-03-03 09:03:00,ETCH-01,452.01,1.049,0.32
2026-03-03 09:04:00,ETCH-01,453.45,1.032,0.224
2026-03-03 09:05:00,ETCH-01,447.99,1.068,0.158
2026-03-03 09:06:00,ETCH-01,451.12,0.952,0.235
2026-03-03 09:07:00,ETCH-01,450.06,1.034,0.192
2026-03-03 09:08:00,ETCH-01,450.49,1.053,0.469
2026-03-03 09:09:00,ETCH-01,446.13,0.912,0.388
2026-03-03 09:10:00,ETCH-01,450.12,0.941,0.299
2026-03-03 09:11:00,ETCH-01,452.49,0.898,0.448
2026-03-03 09:12:00,ETCH-01,457.26,0.987,0.308
2026-03-03 09:13:00,ETCH-01,454.8,1.036,0.214
2026-03-03 09:14:00,ETCH-01,460.77,1.075,0.452
2026-03-03 09:15:00,ETCH-01,446.16,1.004,0.354
2026-03-03 09:16:00,ETCH-01,454.36,1.081,0.196
2026-03-03 09:17:00,ETCH-01,450.92,0.931,0.281
2026-03-03 09:18:00,ETCH-01,460.95,0.915,0.212
2026-03-03 09:19:00,ETCH-01,445.96,0.997,0.162
2026-03-03 09:20:00,ETCH-01,445.8,1.019,0.393
2026-03-03 09:21:00,ETCH-01,447.0,0.998,0.491
2026-03-03 09:22:00,ETCH-01,439.38,0.897,0.16
2026-03-03 09:23:00,ETCH-01,447.37,0.996,0.356
2026-03-03 09:24:00,ETCH-01,446.2,0.935,0.235
2026-03-03 09:25:00,ETCH-01,450.75,1.033,0.251
2026-03-03 09:26:00,ETCH-01,451.71,1.018,0.241
2026-03-03 09:27:00,ETCH-01,459.38,0.953,0.214
2026-03-03 09:28:00,ETCH-01,454.75,0.974,0.305
2026-03-03 09:29:00,ETCH-01,447.12,0.947,0.217
2026-03-03 09:30:00,ETCH-01,445.51,0.997,0.327
2026-03-03 09:31:00,ETCH-01,452.46,1.048,0.295
2026-03-03 09:32:00,ETCH-01,443.4,0.951,0.276
2026-03-03 09:33:00,ETCH-01,459.16,1.025,0.209
2026-03-03 09:34:00,ETCH-01,455.9,0.973,0.242
2026-03-03 09:35:00,ETCH-01,447.65,0.96,0.376
2026-03-03 09:36:00,ETCH-01,441.43,0.995,0.35
2026-03-03 09:37:00,ETCH-01,456.77,0.948,0.202
2026-03-03 09:38:00,ETCH-01,449.43,0.972,0.31
2026-03-03 09:39:00,ETCH-01,456.19,0.94,0.375
2026-03-03 09:40:00,ETCH-01,442.03,1.098,0.133
2026-03-03 09:41:00,ETCH-01,447.0,1.002,0.354
2026-03-03 09:42:00,ETCH-01,450.03,0.965,0.234
2026-03-03 09:43:00,ETCH-01,450.23,1.011,0.357
2026-03-03 09:44:00,ETCH-01,447.75,0.994,0.224
2026-03-03 09:45:00,ETCH-01,453.11,0.989,0.12
2026-03-03 09:46:00,ETCH-01,444.66,1.031,0.137
2026-03-03 09:47:00,ETCH-01,449.29,1.038,0.305
2026-03-03 09:48:00,ETCH-01,450.6,0.973,0.326
2026-03-03 09:49:00,ETCH-01,452.57,0.971,0.21
2026-03-03 09:50:00,ETCH-01,453.56,0.986,0.364
2026-03-03 09:51:00,ETCH-01,444.38,0.885,0.134
2026-03-03 09:52:00,ETCH-01,442.33,0.924,0.293
2026-03-03 09:53:00,ETCH-01,456.39,1.068,0.179
2026-03-03 09:54:00,ETCH-01,451.66,1.082,0.235
2026-03-03 09:55:00,ETCH-01,446.26,0.988,0.305
2026-03-03 09:56:00,ETCH-01,457.76,1.029,0.214
2026-03-03 09:57:00,ETCH-01,450.58,1.016,0.262
2026-03-03 09:58:00,ETCH-01,455.9,1.154,0.401
2026-03-03 09:59:00,ETCH-01,450.34,1.056,0.242
