"lon","lat","dir","dur","std","spd"
-99.9,24.3,3.14159265358979,0,0,0
-99.856,24.3,3.14159265358979,0,0,0
-99.811,24.3,3.14159265358979,0,0,0
-99.767,24.3,3.14159265358979,0,0,0
-99.723,24.3,3.14159265358979,0,0,0
-99.679,24.3,3.14159265358979,0,0,0
-99.635,24.3,3.14159265358979,0,0,0
-99.59,24.3,3.14159265358979,0,0,0
-99.546,24.3,3.14159265358979,0,0,0
-99.502,24.3,3.14159265358979,0,0,0
-99.457,24.3,3.14159265358979,0,0,0
-99.413,24.3,3.14159265358979,0,0,0
-99.369,24.3,3.14159265358979,0,0,0
-99.325,24.3,3.14159265358979,0,0,0
-99.281,24.3,3.14159265358979,0,0,0
-99.236,24.3,3.14159265358979,0,0,0
-99.192,24.3,3.14159265358979,0,0,0
-99.148,24.3,3.14159265358979,0,0,0
-99.103,24.3,3.14159265358979,0,0,0
-99.059,24.3,3.14159265358979,0,0,0
-99.015,24.3,3.14159265358979,0,0,0
-98.971,24.3,3.14159265358979,0,0,0
-98.927,24.3,3.14159265358979,0,0,0
-98.882,24.3,3.14159265358979,0,0,0
-98.838,24.3,3.14159265358979,0,0,0
-98.794,24.3,3.14159265358979,0,0,0
-98.75,24.3,3.14159265358979,0,0,0
-98.705,24.3,3.14159265358979,0,0,0
-98.661,24.3,3.14159265358979,0,0,0
-98.617,24.3,6.01028562533775,0,1,8.2947
-98.573,24.3,6.01260691324291,0,1,8.2304
-98.528,24.3,6.0146140418827,0,1,8.1626
-98.484,24.3,6.01663862381501,0,0.9999,8.0908
-98.44,24.3,6.01915189793788,0,0.9998,8.0153
-98.396,24.3,6.02175243852336,0,0.9995,7.9361
-98.351,24.3,6.02377702045567,0,0.9991,7.8531
-98.307,24.3,6.02714550591202,0,0.9985,7.7665
-98.263,24.3,6.02992057942269,0,0.9975,7.6764
-98.219,24.3,6.03271310622588,0,0.996,7.5827
-98.174,24.3,6.03637829765507,0,0.994,7.4857
-98.13,24.3,6.04011330225434,0,0.9912,7.3854
-98.086,24.3,6.0439355733162,0,0.9875,7.282
-98.042,24.3,6.04781020425563,0,0.983,7.1756
-97.997,24.3,6.0517197417801,0,0.9772,7.0663
-97.953,24.3,6.05562927930456,0,0.9702,6.9543
-97.909,24.3,6.06056856108771,0,0.9627,6.8397
-97.865,24.3,6.06442573873462,0,0.9545,6.7226
-97.82,24.3,6.0693126606402,0,0.9459,6.6033
-97.776,24.3,6.07412976937571,0,0.9367,6.4818
-97.732,24.3,6.07880725177105,0,0.93,6.3584
-97.688,24.3,0.0619382444947748,0,0.9243,6.5488
-97.643,24.3,0.0662125558329089,0,0.919,6.4131
-97.599,24.3,0.070190161198204,0,0.914,6.2757
-97.555,24.3,5.18739778960747,0,0.9098,6.3959
-97.511,24.3,5.15437616015973,0,0.9067,6.6244
-97.466,24.3,5.11795113867061,0,0.9049,6.8648
-97.422,24.3,5.08499932239296,0,0.9044,7.102
-97.378,24.3,5.05854013093273,0,0.9049,7.3262
-97.334,24.3,5.04168025035846,0,0.9065,7.5187
-97.289,24.3,5.02934077254686,0,0.9088,7.6944
-97.245,24.3,5.0231623069948,0,0.9118,7.8479
-97.201,24.3,5.02321466687236,0,0.9155,7.9805
-97.157,24.3,5.0295502120571,0,0.9197,8.0947
-97.112,24.3,5.03330266994889,0,0.9244,8.2023
-97.068,24.3,5.03798015234423,0,0.9295,8.3211
-97.024,24.3,5.04433315082149,0,0.9349,8.4507
-96.98,24.3,5.05131446782947,0,0.9406,8.5916
-96.935,24.3,5.05845286447012,0,0.9462,8.7434
-96.891,24.3,5.0652596485529,0,0.9517,8.9058
-96.847,24.3,5.07091451532936,0,0.9568,9.0786
-96.803,24.3,5.07520802528927,0,0.9614,9.2611
-96.758,24.3,5.0781227251401,0,0.9651,9.4529
-96.714,24.3,5.07974588134446,0,0.9676,9.6537
-96.67,24.3,5.63193315009042,0,0.9689,10.0508
-96.626,24.3,5.67397813177097,0,0.9693,10.496
-96.581,24.3,5.70518461879662,0,0.969,10.9475
-96.537,24.3,5.72504646568432,0,0.9683,11.3573
-96.493,24.3,5.738328421292,0,0.9675,11.7353
-96.449,24.3,5.74618240292597,0,0.9666,12.0649
-96.404,24.3,5.75138348409691,0,0.9657,12.3639
-96.36,24.3,5.75578171381194,0,0.9645,12.6506
-96.316,24.3,5.75846952086001,0,0.9634,12.9044
-96.272,24.3,5.7616111135136,0,0.9622,13.1541
-96.227,24.3,5.76562537079319,0,0.9607,13.4027
-96.183,24.3,5.77094862501177,0,0.9591,13.6529
-96.139,24.3,5.77660349178823,0,0.9575,13.8979
-96.095,24.3,5.78409095427929,0,0.9555,14.1792
-96.05,24.3,5.79079301860695,0,0.9536,14.4657
-96.006,24.3,5.79887389304368,0,0.9514,14.7874
-95.962,24.3,5.80695476748041,0,0.949,15.125
-95.918,24.3,5.81484365569943,0,0.9466,15.4743
-95.874,24.3,5.82353539537436,0,0.9439,15.8532
-95.829,24.3,5.83168608298117,0,0.9412,16.2366
-95.785,24.3,5.84140756691478,0,0.938,16.6617
-95.741,24.3,5.85025638622239,0,0.9348,17.0696
-95.697,24.3,5.85908775223748,0,0.9314,17.4614
-95.652,24.3,5.86683701411634,0,0.928,17.7956
-95.608,24.3,5.87355653173652,0,0.9247,18.0516
-95.564,24.3,5.8793161182681,0,0.9214,18.2074
-95.519,24.3,4.78525647665545,0,0.9181,18.4287
-95.475,24.3,4.77476704785097,0,0.9152,18.8496
-95.431,24.3,4.7642078058764,0,0.9124,19.2743
-95.387,24.3,4.75445141535775,0,0.91,19.7025
-95.343,24.3,4.7446077583765,0,0.9077,20.1339
-95.298,24.3,4.73465938164014,0,0.9055,20.5682
-95.254,24.3,4.72546149648213,0,0.9035,21.0055
-95.21,24.3,4.71614143827648,0,0.9017,21.4454
-95.165,24.3,4.74132653938276,0,0.9,21.8958
-95.121,24.3,4.72944084717667,0,0.8983,22.3501
